gene	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24
ENSRNOG00000013313	1438	1285	1358	1304	1081	1341	1278
ENSRNOG00000013314	269	189	248	225	184	237	209
ENSRNOG00000013317	310	276	288	283	246	274	228
ENSRNOG00000013318	34	34	33	25.1368	33	31	48.00002832
ENSRNOG00000013320	12	7	5	6	8	6	3
ENSRNOG00000013321	408	394.0003	458.0003	437.0001	355.0002	413.0005	413
ENSRNOG00000013322	433.9993	366.9996	435.9998	418.9998	330.0002	385.9995	366.0005
ENSRNOG00000013323	284	230	266	324	218	238	262
ENSRNOG00000013324	921.277	982.888	1036.433	1243.205	1071.1	960.812	1693.998
ENSRNOG00000013326	211	224	235	282	192	283	262
ENSRNOG00000013328	2378.003	2146.996	2469.001	2690.997	1715.996	2299.998	2615.997
ENSRNOG00000013330	174	155	178	178	132	163	108
ENSRNOG00000013331	12166	12101	12145	13441	10652	11509	13154
ENSRNOG00000013334	0	1	2	0	0	0	3
ENSRNOG00000013336	369	314	363	311	340	331	317
ENSRNOG00000013338	0	0	0	0	0	0	0
ENSRNOG00000013339	171.0002	187.9995	208.0001	196.0004	208.0003	199.9998	200.9995
ENSRNOG00000013340	1597	1528	1674	1740	1468	1603	1594
ENSRNOG00000013343	680	561	628	712	573	615	589
ENSRNOG00000013346	123	93	155	173	120	155	147
ENSRNOG00000013351	633.1752	530.07014	618.2097	592.6374	504.229	558.17279	609.1782
ENSRNOG00000013353	523	450	483	497	412	513	514
ENSRNOG00000013356	1788	1744	1838	1845	1517	1790	1805
ENSRNOG00000013358	78	70	65	61	58	59	67
ENSRNOG00000013360	3953	3550	3966	4007	3420	3667	3836
ENSRNOG00000013364	679.102	527.392	776.762	761.705	594.528	698.622	713.429
ENSRNOG00000013367	0	0	0	0	0	0	0
ENSRNOG00000013368	411	344	411	439	354	351	370
ENSRNOG00000013369	1	3	1	0	0	2	1
ENSRNOG00000013370	471.55	432.595	422	385.675	346.261	402.352	345.112
ENSRNOG00000013371	0	0	0	0	1	0	0
ENSRNOG00000013372	0	0	0	0	0	0	0
ENSRNOG00000013373	30.0909	39.9534	24.972	24.6527	28.2071	16.521	38.7845
ENSRNOG00000013374	0	0	1	0	0	0	0
ENSRNOG00000013376	764	557	641	609	531	636	480
ENSRNOG00000013378	0	0	0	0	0	0	0
ENSRNOG00000013379	795	650	738	797	683	799	782
ENSRNOG00000013380	32.00003	25.99999	27.99998	34	17	30	20
ENSRNOG00000013381	1644	1553	1619	1622	1381	1563	1647
ENSRNOG00000013382	0	0	0	0	0	1	0
ENSRNOG00000013383	415	373	370	402	313	373	377
ENSRNOG00000013386	2933	2720	2804	2663	2370	2517	2626
ENSRNOG00000013387	207.9999	162.9999	216.9996	228.0001	174.9997	198	176.9996
ENSRNOG00000013388	256	228	238	194	181	237	217
ENSRNOG00000013389	55	30	46	44	34	55	22
ENSRNOG00000013390	98	79	66	79	45	68	67
ENSRNOG00000013391	14350	13536	14363	16304	12698	14811	14875
ENSRNOG00000013393	960	831	981	877	731	895	866
ENSRNOG00000013395	29.175	19.3201	22.5306	13.3646	20.2762	23.8789	17.067
ENSRNOG00000013397	311	343	325	447	286	375	366
ENSRNOG00000013398	0	0	0	0	0	0	0
ENSRNOG00000013399	1	0	0	0	2	0	2
ENSRNOG00000013407	0	0	0	1	1	0	0
ENSRNOG00000013408	111	86	90	107	90	95	115
ENSRNOG00000013409	1092	936	1080	1024	874	1031	991
ENSRNOG00000013410	0	0	0	0	0	0	0
ENSRNOG00000013411	870	713	807	771	658	772	755
ENSRNOG00000013412	288.9998	235.9996	307.5017	302.0002	273.0004	266.0001	317.1638
ENSRNOG00000013413	4	2	5	8	2	1	5
ENSRNOG00000013415	54	65	66	66	48	74	61
ENSRNOG00000013416	0	0	1	0	0	1	0
ENSRNOG00000013419	58	52	55	28	26	43	24
ENSRNOG00000013422	945	858	991	935	756	954	885
ENSRNOG00000013423	930	780	891	864	730	839	801
ENSRNOG00000013426	34	36.0392	34	41	39	27	44
ENSRNOG00000013428	11	10	5	11	7	8	8
ENSRNOG00000013429	525	468	567	582	418	524	539
ENSRNOG00000013431	796	696	816	766	663	777	744
ENSRNOG00000013433	5	4	4	7	4	5.47114	3
ENSRNOG00000013436	120.0004	103.00004	88	118	106	108	141.9999
ENSRNOG00000013437	127.9996	128	124.0001	115.9997	101	107	102
ENSRNOG00000013438	1146.26	967	1136	1042.55	938	1121	1128
ENSRNOG00000013439	4.43425	10.7339	7.97575	1.08548	4.31163	4.4865	3.14054
ENSRNOG00000013441	7	7	7	8	5	11.5289	12
ENSRNOG00000013442	1708.066	1495.365	1634.693	1673.276	1431.043	1563.014	1501.623
ENSRNOG00000013443	4203	3642	4046	3951	3309	3796	3742
ENSRNOG00000013445	510	430	509	467	428	456	416
ENSRNOG00000013446	269.1622	248.7211	263.4309	290.8119	270.5513	283.9026	310.5176
ENSRNOG00000013448	0	0	1	0	0	0	2
ENSRNOG00000013451	1581	1405	1553	1643	1231	1548	1313
ENSRNOG00000013452	4046	3489	4089	4212	3681	3811	4010
ENSRNOG00000013454	1152	1023	1142	1010	866	957	1043
ENSRNOG00000013456	544	438	533	554	385	484	510
ENSRNOG00000013459	608	496	596	619	552	584	576
ENSRNOG00000013460	432	420	470	525	355	459	458
ENSRNOG00000013461	1758.974	1665.969	1735.985	1875.991	1469.978	1585.997	1637.988
ENSRNOG00000013463	205	161	197	178	185	192	310
ENSRNOG00000013464	0	0	0	0	0	0	0
ENSRNOG00000013465	39	35	46.99995	48.00004	45	49	33.99997
ENSRNOG00000013468	427	480	406	374	366	345	413
ENSRNOG00000013469	3552	3090	3491	4010	3323	3390	3610
ENSRNOG00000013474	1816	1569	1647.01	2261	1407	1804	1740
ENSRNOG00000013479	4319	4033	4307.9958	4454.00006	3572	4232.00236	4255.99719
ENSRNOG00000013480	467	369	434	440	383	401	391
ENSRNOG00000013481	624	429	654	664	547	552	580
ENSRNOG00000013484	1124.943	882.999	1086.991	994	874.995	1069.996	793.992
ENSRNOG00000013491	1424	1166	1408	1470	1116	1396	1334
ENSRNOG00000013492	2246	2042	2469	2476	2086	2312	2372
ENSRNOG00000013493	3034.9966	2695.99512	2790.99785	2521.00178	2402.99621	2625.9985	2732.00272
ENSRNOG00000013496	0	0	1	0	0	0	0
ENSRNOG00000013498	567	465	599	607	423	532	487
ENSRNOG00000013502	1346	1151	1343	1398	1120	1288	1326
ENSRNOG00000013503	478	278	385	351	258	385	225
ENSRNOG00000013505	6361	5764.002	6443.997	6730.9975	5587.005	6386	6664
ENSRNOG00000013506	1812	1716	1868	1876	1524	1801	1754
ENSRNOG00000013507	1354	1249	1353.00014	1305	1117.99624	1286	1287
ENSRNOG00000013508	5880.58	5623.91	5757.57	5395.54	4565.01	4235.5	5226.42
ENSRNOG00000013510	346	278	327	312	229	273	252
ENSRNOG00000013514	3360	3129	3270	3287	2881	3044	3307
ENSRNOG00000013515	7	8	13	7	9	8	0
ENSRNOG00000013516	6463	5516	6482	6172	5309	6415	6416
ENSRNOG00000013517	1688	1666	1646	1809	1461	1741	1633
ENSRNOG00000013519	9	4	5	11	12	10	11
ENSRNOG00000013520	3705.999	3051.002	3934.899	3645.893	2993.997	3771.8	3577.998
ENSRNOG00000013521	346.368	337.216	348.461	290.478	275.408	348.735	280.456
ENSRNOG00000013526	144	160	209	179	135	181	167
ENSRNOG00000013529	996.552	792.561	995.991	1029.95	777.579	975.184	862.978
ENSRNOG00000013532	925	905	970	1113	902	888	1085
ENSRNOG00000013533	4554	3996	4499	4544	3524	4239	4187
ENSRNOG00000013535	40	55	59	37	38	47	38
ENSRNOG00000013536	3751.003	3755.002	3890.004	3710.997	3284.999	3779.001	3702.999
ENSRNOG00000013538	2752.51	2678.27	2909.65	2774.89	2326.22	2601.59	2626.34
ENSRNOG00000013540	0	0	0	0	0	0	0
ENSRNOG00000013541	107.933	112.815	113.827	103.629	90.6427	80.7017	71.2089
ENSRNOG00000013545	2443.00023	2465.00372	2290.00366	2471.99553	2030.99953	2215.99856	2339.00209
ENSRNOG00000013547	27.00003	24.00003	40	23.00002	14.29208	28	14
ENSRNOG00000013548	0	0	0	0	0	0	0
ENSRNOG00000013552	1080.88	870.491	922.031	706.974	549.464	837.221	210.345
ENSRNOG00000013553	558	481	505	556	485	484	494
ENSRNOG00000013554	0	1	1	0	2	0	0
ENSRNOG00000013555	17.0694	14.0947	18.1155	15.0625	10.0474	9.08952	17.1081
ENSRNOG00000013557	2147.998	2127.998	2225.995	2230.996	1806.003	2186.996	1981
ENSRNOG00000013562	3573	3374	3549	3574	3119	3322	3467
ENSRNOG00000013563	0	0	0	0	0	0	0
ENSRNOG00000013564	13	13	24	18	25	14	19
ENSRNOG00000013565	588.97	575.9789	653.0002	637.9773	435.9753	553.0002	604.9851
ENSRNOG00000013566	0	0	0	0	0	0	0
ENSRNOG00000013570	604.04	630.46	623.138	769.161	561.869	618.514	706.08
ENSRNOG00000013572	314	243	310	259	257	267	186
ENSRNOG00000013573	20.6304	19.6288	91.2728	29.005	29.2883	29.5972	28.5645
ENSRNOG00000013574	718	593	764	740	630	726	681
ENSRNOG00000013577	752	588.0001	738	722	614	700	679
ENSRNOG00000013578	58	53	49	53	54	54	69
ENSRNOG00000013579	164.843	120.985	142.691	140.167	117.092	147.797	161.649
ENSRNOG00000013581	1387.73	1147.14	1257.88	1337.95	1078	1344.94	1356.41
ENSRNOG00000013583	641.783	577.193	682.758	724.444	583.411	717.555	661.296
ENSRNOG00000013585	466	406	462	468	351	436	429
ENSRNOG00000013586	8	4	4	6	4	5	6
ENSRNOG00000013587	841	796	882	877	733	930	846
ENSRNOG00000013588	1	2	1	0	0	1	0
ENSRNOG00000013589	147.081	154.381	153.657	190.427	146.095	144.777	252.12
ENSRNOG00000013591	714.86	646.652	712.393	680.666	588.744	679.367	692.575
ENSRNOG00000013593	0	0	0	0	0	0	0
ENSRNOG00000013594	631	593	653	637	575	616	606
ENSRNOG00000013596	279	246	244	252	219	250	258
ENSRNOG00000013598	366	192	299	280	231	282	185
ENSRNOG00000013600	0	0	0	0	0	0	0
ENSRNOG00000013602	1184.001	1052	1199.001	1251.0009	1017	1242.002	1161.999
ENSRNOG00000013603	1225.2871	1066.8822	1240.6116	1255.6143	1023.6796	1131.5557	1176.4423
ENSRNOG00000013604	4811.6772	4373.03017	4846.72076	4424.84129	3970.6657	4139.30085	4664.8022
ENSRNOG00000013605	1	0	0	0	0	0	0
ENSRNOG00000013609	61.9259	69.3763	65.8846	57.2494	46.9786	60.0053	55.8078
ENSRNOG00000013610	42.00003037972	54.00000101267	61.00002232046	38.0000131422	34.0000168901	48.0000156359	33.00000926904
ENSRNOG00000013611	0	0	0	0	0	0	0
ENSRNOG00000013612	0	0	0	0	0	0	0
ENSRNOG00000013615	15	7	22	12	8	10	12
ENSRNOG00000013616	0	0	0	0	0	0	0
ENSRNOG00000013618	1982	1737	2254	2165	1738	2130	2084
ENSRNOG00000013620	1307	1085	1348	1321	956	1276	1258
ENSRNOG00000013622	2.50092	0	3.91619	3.81114	2.63942	1.4298	3.7403
ENSRNOG00000013623	0	2	1	0	0	5	3
ENSRNOG00000013624	329.893	303.428	461.603	312.649	254.859	330.591	356.282
ENSRNOG00000013628	21	19	22	31	20	18	32
ENSRNOG00000013631	355	383	389	408	360	403	373
ENSRNOG00000013634	279	287	293	274	252	280	266
ENSRNOG00000013636	245	217	224	212	151	204	181
ENSRNOG00000013641	30	37	34	46	37	40	45
ENSRNOG00000013642	1590	1383	1558	1655	1365	1573	1520
ENSRNOG00000013647	286	228	297	295	223	215	271
ENSRNOG00000013653	3191	1892	2850	2453	2215	2478	2178
ENSRNOG00000013654	6	3	5	2	5	7	2
ENSRNOG00000013656	579	478	569	614	526	533	573
ENSRNOG00000013657	1	0	1	0	0	1	0
ENSRNOG00000013658	8	3	6	12	6	10	5
ENSRNOG00000013659	1538	1425	1509	1620	1267	1463	1462
ENSRNOG00000013660	995	934	1058	1019	935	964	955
ENSRNOG00000013661	269	216.0001	268	314	250.0001	257	271.0003
ENSRNOG00000013662	28	22	23	27	23	32	15
ENSRNOG00000013663	516	476	485	547	431	470	473
ENSRNOG00000013668	623	533	629	573	544	581	522
ENSRNOG00000013669	669	634	698	786	553	744	692
ENSRNOG00000013670	2	4	3.00001	5.03491	2.00805	5.00006	6.02082
ENSRNOG00000013671	1	1	2	2	0	0	0
ENSRNOG00000013673	368.974	240.873	365.692	316.009	254.193	309.132	316.746
ENSRNOG00000013674	53	41	55	81	59	73	71
ENSRNOG00000013679	1344	1457.999	1422	1820.996	1474.004	1505.998	1748.001
ENSRNOG00000013681	17	9	12	17	11	18	17
ENSRNOG00000013683	586	564	601	661	536	595	655
ENSRNOG00000013684	0	0	0	0	0	0	2
ENSRNOG00000013689	757	703	782	736	568	675	697
ENSRNOG00000013690	111	65	114	90	70	84	85
ENSRNOG00000013692	348.0002	468.0004	435.9995	445	398.9999	444.9923	454.9999
ENSRNOG00000013694	56	52	38	55	46	44	45
ENSRNOG00000013695	4.19021	1.03811	2.07313	1.03896	2.1099	1.06098	0
ENSRNOG00000013698	0	0	0	0	0	0	0
ENSRNOG00000013703	303	301	359	329	250	300	289
ENSRNOG00000013704	2	0	2	0	1	0	0
ENSRNOG00000013707	419.485	417.566	371.25	394.853	319.758	390.778	457.061
ENSRNOG00000013711	0	0	0	0	0	0	0
ENSRNOG00000013712	1291	1250	1310	1363	1106	1186	1247
ENSRNOG00000013713	3.39946	1.14867	0	2.24765	1.11811	0	1.17952
ENSRNOG00000013714	476	437	467	405	411	462	439
ENSRNOG00000013717	209	189	228	219	151	185	179
ENSRNOG00000013718	2628.0049186	2517.999	2671.003	2789.003	2192.997	2749.002	2563.001
ENSRNOG00000013719	77	48	66	91	71	69	75
ENSRNOG00000013720	1672	1438	1517	1704	1302	1578	1349
ENSRNOG00000013721	186	153	203	185	136	153	164
ENSRNOG00000013727	533	464	562	483	424	455	269.0001
ENSRNOG00000013728	174	189	193	222	144	200	175
ENSRNOG00000013729	154.001	166.091	154.092	183.043	127.018	165.045	187.043
ENSRNOG00000013733	1795	1590	1840	1889	1606	1814	1702
ENSRNOG00000013734	6	1	2	1	1	0	1
ENSRNOG00000013736	28.3812	36.4281	44.8618	30.1218	28.3593	25.3175	41.7646
ENSRNOG00000013737	39	32	36	42	39	35	38
ENSRNOG00000013738	352.9999	253.9999	333.0003	384	341	385	400.0004
ENSRNOG00000013739	0	0	0	0	0	0	0
ENSRNOG00000013740	1	0	0	0	0	0	0
ENSRNOG00000013741	5176	4912.245	5019.612	4944.999	4324	4787.193	4898.003
ENSRNOG00000013742	734	743.00037	772	861	626	833	616
ENSRNOG00000013743	4442	4218	4434	5209	3960	4446	4491
ENSRNOG00000013744	672.646	640.126	661.823	566.837	543.589	613.325	463.046
ENSRNOG00000013745	9	2	7	6	7.999998	8	7
ENSRNOG00000013746	1229	1077	1239	1292	975	1099	1190
ENSRNOG00000013747	83	72	91	96	65	76	74
ENSRNOG00000013748	0	1	1	4	3	0	2
ENSRNOG00000013751	460	353	458	436	315	471	364
ENSRNOG00000013752	2.0556	1.02985	10.0806	5.13791	0	1.0343	2.03566
ENSRNOG00000013753	4	9	5	4	11	6	7
ENSRNOG00000013754	0	0	0	0	1	0	1
ENSRNOG00000013756	405	315	423	356	324	403	369
ENSRNOG00000013760	0	0	0	0	0	0	0
ENSRNOG00000013763	1024	977	1100	1128	896	1048	1016
ENSRNOG00000013764	292	257.00025	315	267	233	261	206
ENSRNOG00000013766	4641.999	4952.004	4678	5411.997	4371.998	4427.001	5675
ENSRNOG00000013767	319.825	245.68	283.469	272.635	240.724	294.121	213.933
ENSRNOG00000013768	0	0	0	0	0	0	0
ENSRNOG00000013770	7	2	3	5	3	2	8
ENSRNOG00000013771	3	0	1	2	0	0	0
ENSRNOG00000013773	981	929	1047	1022	897	1052	1036
ENSRNOG00000013774	798	696	773	787	580	763	637
ENSRNOG00000013776	0	0	0	0	0	0	0
ENSRNOG00000013777	779	701	769	905	646	807	803
ENSRNOG00000013778	0	0	0	0	0	0	0
ENSRNOG00000013780	1353	1324	1375	1475	1126	1509.996	1396
ENSRNOG00000013781	122.0455	97	122.0001	109.5799	76.3895	106.2628	77.0494
ENSRNOG00000013783	1496	1178	1360	1260	1075	1199	1103
ENSRNOG00000013790	1548	1262	1467	1419	1171	1405	1296
ENSRNOG00000013791	350	283	350	338	327	331	364
ENSRNOG00000013792	0	0	0	0	0	0	0
ENSRNOG00000013793	21	16	21	16	15	25	12
ENSRNOG00000013794	2110	1767	2089	1705	1556	1761	1934
ENSRNOG00000013795	454	331	389	418	332	365	394
ENSRNOG00000013796	0	0	0	0	0	0	0
ENSRNOG00000013798	510	394	478.9996	512	361.0002	467	498.9995
ENSRNOG00000013802	543.153	581.806	566.126	586.889	514.422	528.386	591.427
ENSRNOG00000013804	1456	1261	1386	1426	1184	1420	1372
ENSRNOG00000013805	374	258	331	295	292	293	280
ENSRNOG00000013806	347.0001	389.9997	365.9998	379.9999	302.0003	348.9998	341.9995
ENSRNOG00000013807	2	2.0026	2	0	1	2	0
ENSRNOG00000013808	12.2203	15.0953	16.3021	10.058	16.5779	10.1138	5.03646
ENSRNOG00000013809	1010.65	892.907	1005.15	1032.55	842.56	1023.75	894.149
ENSRNOG00000013813	544	479	527	466	466	476	466
ENSRNOG00000013816	1247	1000	1162	1076	877	1062	1028
ENSRNOG00000013817	4	3	4	4	1	2	2
ENSRNOG00000013820	11.696	4.4542	12.8341	7.33795	3.13269	3.29845	6.71206
ENSRNOG00000013821	0	1.06634	0	0	0	0	0
ENSRNOG00000013823	11	0	6	3	1	2.0005	1
ENSRNOG00000013825	144	125	129	128	108	94	92
ENSRNOG00000013826	0	0	0	0	0	0	0
ENSRNOG00000013828	337	346	327	327	280	276	362
ENSRNOG00000013829	9	3	5	2	4	11	3
ENSRNOG00000013832	997	1001	1057	1174	899	1056	985
ENSRNOG00000013834	0	0	0	0	0	0	0
ENSRNOG00000013835	2	0	2	0	2	1	0
ENSRNOG00000013836	820.877	722.7993	754.999	777.00005	664.0513	808.943	720.928
ENSRNOG00000013837	1981	1678	1847	1973	1581	1941	1658
ENSRNOG00000013838	0	0	0	0	0	0	0
ENSRNOG00000013839	0	0	0	0	0	0	0
ENSRNOG00000013840	3	5	1	5	0	3	1
ENSRNOG00000013841	1063.813	989.712	1083.473	1095.534	794.503	967.598	1044.072
ENSRNOG00000013844	273.99964	219.00007	275.99969	219.99952	212.99991	233.99948	233.99982
ENSRNOG00000013845	510	517	479	435	386	442	493
ENSRNOG00000013847	21	24	28	36	17	18	30
ENSRNOG00000013850	4	7	2	2	2	2	2
ENSRNOG00000013851	408	479	514	529	403	399	556
ENSRNOG00000013852	701.0002	662.00005	698.9995	730	617.0003	694.9998	672.99959
ENSRNOG00000013855	391.671	351.496	362.383	381.53	300.849	368.712	327.663
ENSRNOG00000013859	0	0	0	0	0	0	0
ENSRNOG00000013862	65	65	66	63	55	40	60
ENSRNOG00000013865	380.00021	267	351.99988	413.9998	346.0003	425.9999	361.00031
ENSRNOG00000013866	120	95	126	125	111	130	128
ENSRNOG00000013867	3353	2875.004	3329.003	3685.995	2846.996	3477.996	3094
ENSRNOG00000013869	1	0	2	0	2	0	2
ENSRNOG00000013872	5.82137	6.66532	8.25379	4.31019	4.32353	12.1661	20.0384
ENSRNOG00000013874	21849.9	20290.1	22402.3	20310.5	18471.9	18629.7	20328.9
ENSRNOG00000013875	1094	1156	1131	1313	1026	1189	1103
ENSRNOG00000013876	1323	1381	1313	1382.9998	1119	1242	1417
ENSRNOG00000013877	483.00031057	413.9993	518.9995	420.000171387	410	431.0003	493.9998
ENSRNOG00000013878	676	616	757	678	551	700	687
ENSRNOG00000013884	182.00002	184.0001299139	202	246	174.999862	213.9995	169
ENSRNOG00000013886	11	9	16	15	19	24	23
ENSRNOG00000013887	28	21	33	28	30	29	35
ENSRNOG00000013889	1063	940	982	1088	905	1021	1050
ENSRNOG00000013890	0	0	0	0	0	0	0
ENSRNOG00000013892	365	358	355	361	231	313	320
ENSRNOG00000013894	0	0	0	0	0	0	0
ENSRNOG00000013895	670	571	708	676	521	640	632
ENSRNOG00000013896	0	0	0	0	0	0	0
ENSRNOG00000013898	469	462	435	492	374	436	381
ENSRNOG00000013902	4	2	2	3	5	2	5
ENSRNOG00000013906	1	0	3.00343	5	1	0	6
ENSRNOG00000013907	10	14	19	16	9	13	10
ENSRNOG00000013908	0	0	0	0	0	0	0
ENSRNOG00000013911	326	288	346	319	256	283	306
ENSRNOG00000013912	462	357	387	418	322	391	349
ENSRNOG00000013914	2	1	6	3	0	1	2
ENSRNOG00000013916	7	6	1	6	6	11	5
ENSRNOG00000013917	716	633	714	835	695	815	962
ENSRNOG00000013919	932.9996	831.0002	849.0001	869	742.0003	832	770.9997
ENSRNOG00000013920	710	674	803	864	660	821	802
ENSRNOG00000013922	64	35	73.1857	73	51	56	66
ENSRNOG00000013925	72	72	74	77	89	73	108
ENSRNOG00000013927	442	490	454	542	423	472	506
ENSRNOG00000013928	19576	17611	19947	21247	16525	19344	19573
ENSRNOG00000013930	980	871	947	945	736	859	847
ENSRNOG00000013932	7	5	6	2	6	3	2
ENSRNOG00000013933	293	268	291	318	275	323	269
ENSRNOG00000013934	1008	911	988	1082	843	1046	936
ENSRNOG00000013937	0	0	0	0	0	0	0
ENSRNOG00000013938	77	75.0328	77.1111	94.0173	84.0397	89.0458	84
ENSRNOG00000013939	0	0	0	0	0	0	0
ENSRNOG00000013944	53	48	47	71	55	56	66
ENSRNOG00000013945	313	284	334	287	252	282	294
ENSRNOG00000013946	887	767	870	744	538	702	872
ENSRNOG00000013947	104	124	99	132	113	129	131
ENSRNOG00000013948	636	489	650	551	543	566	591
ENSRNOG00000013949	14459.98	15230.97	14716.02	17652.01	13884.97	14696.04	16627.99
ENSRNOG00000013950	0	0	1	0	2	1	0
ENSRNOG00000013953	4	1	3	2	1	0	2
ENSRNOG00000013954	18	19	17	13	21	37	21
ENSRNOG00000013956	967.00051	858	911	951.9996	784.9995	928.9996	842.9996
ENSRNOG00000013957	0	0	0	0	0	0	0
ENSRNOG00000013959	0	0	0	1	0	0	0
ENSRNOG00000013961	7785	8314	7872	8179	6882	7233	7941
ENSRNOG00000013962	22	22	21	23	23.5442	23	27
ENSRNOG00000013963	3698	3522	3845	3569	3061	3645	3659
ENSRNOG00000013965	405	383	425	451	409	408	382
ENSRNOG00000013967	12	13	17	22	17	11	19
ENSRNOG00000013968	250	253	241	223	233	213	211
ENSRNOG00000013969	540.237	576.197	598.281	515.644	441.059	525.254	449.953
ENSRNOG00000013970	411	335	371	445	350	398	273
ENSRNOG00000013971	860	719.99141	920.99605	936.9998	834.99762	857.00034	795.00013
ENSRNOG00000013972	665	626	715	733	570	645	647
ENSRNOG00000013973	285	362	271	170	209	298	318
ENSRNOG00000013974	608	608	675.997	708	561	607	702
ENSRNOG00000013975	214.093	157.828	190.463	152.559	154.157	155.4289	175.152
ENSRNOG00000013977	2869	2386	2743	2656	2313	2551	2619
ENSRNOG00000013981	6	1	3	2	0	2	5
ENSRNOG00000013982	0	0	0	0	0	0	0
ENSRNOG00000013987	2415.496	2490.217	2251.841	1861.396	1780.649	2125.764	2247.661
ENSRNOG00000013991	2	1	1	0	1	1	0
ENSRNOG00000013992	548	540	557	583	520	535	541
ENSRNOG00000013993	68	72	63	73	59	76	74
ENSRNOG00000013994	526.127	397.36	540.197	445.813	395.137	448.679	444.187
ENSRNOG00000014000	610	486	491	557	467	567	517
ENSRNOG00000014001	0	0	0	0	0	0	0
ENSRNOG00000014002	437.1679	374.1451	429.1481	424.0005	335.1542	433.9996	365.001
ENSRNOG00000014003	78	83	100	92	80	83	72
ENSRNOG00000014004	561	556	643	626	526	557	593
ENSRNOG00000014006	0	0	0	0	0	2	0
ENSRNOG00000014007	346	341	388	393	263	302	359
ENSRNOG00000014008	8	0	0	8	0	4	4
ENSRNOG00000014010	28.3696	21.3072	28.5292	24.3845	15.2291	27.4111	37.7008
ENSRNOG00000014011	267.23	377.769	320.706	385.434	314.335	266.312	432.335
ENSRNOG00000014013	7368	6163	7244	7192	5635	6669	6455
ENSRNOG00000014018	20	22	12	20	16	9	14
ENSRNOG00000014019	400	405	365	434	351	394	380
ENSRNOG00000014021	7	3	10	8	5	3	5
ENSRNOG00000014025	1	3	2	2	3	1	3
ENSRNOG00000014027	227	207	213	223	173	223	184
ENSRNOG00000014029	708	693	632	697	557	627	628
ENSRNOG00000014030	1230.99991	1009	1212.00028	1293.99950001227	968	1254.0032	949
ENSRNOG00000014031	620	576	651	613	530	608	651
ENSRNOG00000014034	446	365	460	509	411	428	553
ENSRNOG00000014035	14	11	10	11	13	10	15
ENSRNOG00000014037	270	178	212	253	186	246	198
ENSRNOG00000014039	0	0	0	0	0	0	0
ENSRNOG00000014041	334	309	305	349	251	318	287
ENSRNOG00000014044	863	749	897	929	708	864	899
ENSRNOG00000014046	0	0	1	0	0	0	0
ENSRNOG00000014048	476.332	437.03571	478.074	405.972	339.02699	435.423	410.11847
ENSRNOG00000014049	440.653	409.553	452.06	425.605	358.927	408.676	392.34
ENSRNOG00000014050	766.39	631.934	747.365	776.82	667.31	717.398	773.8
ENSRNOG00000014051	3922	3627	3732	3835	2930	3192	3697
ENSRNOG00000014052	11	6	7	4	8	4	9
ENSRNOG00000014054	0	0	2	0	0	0	0
ENSRNOG00000014055	105	108	118	128	79.4238	124	98.1408
ENSRNOG00000014058	1822	1531	1747	1761	1502	1634	1681
ENSRNOG00000014059	248.124	226.2556	251.369	258.274	230	234.0788	248.794
ENSRNOG00000014060	740	678	750	851	677	841	776
ENSRNOG00000014061	786	879	749	837	644	746	846
ENSRNOG00000014064	2638.138	2104.927	2692.924	2730.902	2357.005	2601.887	2915.67
ENSRNOG00000014065	184	155	167	181	126	138	179
ENSRNOG00000014066	984.602	848.142	1015.55	867.955	738.81	861.899	896.376
ENSRNOG00000014070	3	0	0	0	0	0	1
ENSRNOG00000014071	144	117	177	125	113	135	150
ENSRNOG00000014072	893	828	911	870	785	870	893
ENSRNOG00000014075	496	443	576	666	551	560	579
ENSRNOG00000014076	920	823	933	980	703	896	1033
ENSRNOG00000014078	6309	6833	6681	6479	5946	5660	7320
ENSRNOG00000014079	1921.99855	1519.00053	1720.0006	1652.9996	1470.99916	1691.00255	1579.99686
ENSRNOG00000014080	748	586	660	619	575	672	364
ENSRNOG00000014081	0	0	0	2	0	0	0
ENSRNOG00000014082	0	0	1.00694	0	0	0	0
ENSRNOG00000014083	12.4201	4.129069	19.234	11.4785	9.41202	13.6394	13.28913
ENSRNOG00000014084	1754	1562	1678	1727	1271	1666	1467
ENSRNOG00000014087	298	284	333	320	247	293	301
ENSRNOG00000014089	263	240	238	279	214	261	248
ENSRNOG00000014090	1351	1143	1296	1356	1182	1176	1403
ENSRNOG00000014092	208	164	206	202	167	224	224
ENSRNOG00000014093	1651	1576	1585	1684	1423	1649	1492
ENSRNOG00000014096	2459	2099	2284	2297	1945	2313	2219
ENSRNOG00000014097	2267	2092	2333	2266	1944	2168	2109
ENSRNOG00000014098	752.9996	687.9999	704.0002	749.0001	609.0002	688.9998	646.9998
ENSRNOG00000014099	3	3	4	1	4	2	1
ENSRNOG00000014102	2	2	5	2	1	1	2
ENSRNOG00000014104	34	24.00001696	43	21.99997	35	27.999979	25.000023
ENSRNOG00000014105	0	0	2	0	3.0005	0	0
ENSRNOG00000014107	1	0	1	1	0	2	1
ENSRNOG00000014109	3069	2942	3187	2947	2524	2867	2755
ENSRNOG00000014117	3221	2595	2904	3188	2631	3015	2612
ENSRNOG00000014118	2	0	3	0	1	1	1
ENSRNOG00000014119	1098	956	996	961	903	947	983
