gene	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6
ENSRNOG00000003313	1	7	5.00004	1.00082	3.00257	2.00153	0
ENSRNOG00000003326	1613.9988	1859.0014	1837.0016	1804.9986	1499	1630	1682.003
ENSRNOG00000003328	816	840	846	755	728	702	873
ENSRNOG00000003329	389	388	393	294	310	323	273
ENSRNOG00000003330	1687.34	1721.93	1584.05	1458.06	1420.49	1343.65	1589.64
ENSRNOG00000003332	90	121	103	131	121	103	112
ENSRNOG00000003334	2154	2016	1979	1813	1936	1671	1792
ENSRNOG00000003336	32.00003	47.00002	48.00003	26.99997	41	41.99998	62.00002
ENSRNOG00000003338	720	669	673	549	579	543	529
ENSRNOG00000003342	0	1	0	0	0	0	0
ENSRNOG00000003343	11939	14461	13651	14519	11241	13689	12319
ENSRNOG00000003345	0	0	0	0	0	0	0
ENSRNOG00000003346	57	67.000012595	67	68	76.00003	54	67
ENSRNOG00000003347	0	0	0	0	0	0	0
ENSRNOG00000003348	171	176	153	77	155	122	160
ENSRNOG00000003349	17	9	8.26018	13	7	10	14.8751
ENSRNOG00000003350	196.9999	222.9998	186.9998	215.0004	169	167	197.9996
ENSRNOG00000003354	0	3	1	1	1	2	0
ENSRNOG00000003357	38081	40584	30945	31173	29559	30491	35785
ENSRNOG00000003359	1197	1471.00069	1536.00279	1470.00303	1272	1338.00002	1573.99781
ENSRNOG00000003365	107	105	95	90	87	66	95
ENSRNOG00000003367	20	35	33	36.00002	20	30	28
ENSRNOG00000003370	1	2	2	2	0	4	6
ENSRNOG00000003374	81	99	103	86	88	104	131
ENSRNOG00000003377	0	0	0	0	0	0	0
ENSRNOG00000003384	31.3766	44.307	30.7186	30.29	29.1405	21.9592	22
ENSRNOG00000003385	628	666	677	557	570	570	593
ENSRNOG00000003386	0	1	0	1	0	0	1
ENSRNOG00000003388	347	479	399	437	355	438	359
ENSRNOG00000003392	3571.0018	3594.005	3740.002	4340.999	3307.0006	3312.0003	3175
ENSRNOG00000003395	42	47	43	44	28	36	41
ENSRNOG00000003397	396	310	342	358	327	322	327
ENSRNOG00000003398	156	182	159	173	161	178	145
ENSRNOG00000003399	4323	5264	5402	3601.004	4426.001	4883	5059
ENSRNOG00000003400	10	12	8.999998	8	11	5	14
ENSRNOG00000003401	12.319	19.4872	15.4274	12.358	13.369	13.5054	9.31741
ENSRNOG00000003402	1317.89	1244.17	1225.57	1121.4	1085.56	1071.9	1086.7
ENSRNOG00000003403	1424	1404	1429	1168	1160	1216	1188
ENSRNOG00000003407	545	623	390	466	468	392	386
ENSRNOG00000003409	2	4	5	5	1	1	4
ENSRNOG00000003424	913	941	926	971	878	817	842
ENSRNOG00000003428	562.0003	654.0004	632.99987184	606.9999	630.9997	541.00004	661.9997
ENSRNOG00000003430	2	3	0	1	0	6	0
ENSRNOG00000003434	451	598	518	539	505	547	562
ENSRNOG00000003435	7	8	23	12	12	11	10
ENSRNOG00000003439	17	10	11	14	10	14	3
ENSRNOG00000003442	99	141.0003	125	124	117	119.00029	155.0002
ENSRNOG00000003443	18	32	31	16	30	25	22
ENSRNOG00000003452	83	79	108	119	74	88.00001	102
ENSRNOG00000003453	129.576	136.578	122.651	146.337	116.735	109	112.056
ENSRNOG00000003455	61	68	64	51	38	36	41
ENSRNOG00000003456	0	0	0	0	0	0	0
ENSRNOG00000003457	26.1399	29.6182	31.4347	37.3116	20.6733	26.8244	19.03
ENSRNOG00000003461	885	1006.0003	1049.9997	1037	875.0003	954.9996	990.0001
ENSRNOG00000003463	956.954	991.317	986.889	1224.386	879.725	781.664	633.843
ENSRNOG00000003464	1611	1609	1541	1709	1422	1468	1350
ENSRNOG00000003468	1	4	0	6	3	1	3
ENSRNOG00000003469	1	5	2	4	3	4	5
ENSRNOG00000003470	384	426	474	356	369	420	494
ENSRNOG00000003472	135	171	155	135	123	128	111
ENSRNOG00000003476	6	2	7	5	2	2	4
ENSRNOG00000003479	150	155	100	120	118	109	149
ENSRNOG00000003480	2	4	1.999997	0	1	2	0
ENSRNOG00000003486	56	53	74	78	46	52	35
ENSRNOG00000003491	439	563	442.9998	517	383.9999	408.0003	306.9997
ENSRNOG00000003494	641	584	570	417	594	457	484
ENSRNOG00000003495	5522	6655	5152	6357.003	4491	4902.999	5100
ENSRNOG00000003496	399	400	348	304	337	309	235.0003
ENSRNOG00000003497	770.629	798.797	834.509	874.65	682.841	719.71	674.806
ENSRNOG00000003498	0	0	0	0	0	0	1
ENSRNOG00000003500	0	0	0	0	0	0	0
ENSRNOG00000003501	0	0	0	0	0	0	0
ENSRNOG00000003504	1190.9959	1122.996	1096	929.0004	1048.0001	957.0003	1111.004
ENSRNOG00000003506	1190	1271	1249	1430	1086	1120	1088
ENSRNOG00000003508	1642	1669.85	1516.11	1346.71	1321.13	1430.95	1534.42
ENSRNOG00000003509	0	0	0	0	0	0	0
ENSRNOG00000003510	0	1	0	1	3	0	0
ENSRNOG00000003512	0	2	0	5	1	0	0
ENSRNOG00000003515	1088.62014	949.65915	898.6366	863.7742	1019.55	738.67	907.5122
ENSRNOG00000003517	61	65	49	37	41	66	40
ENSRNOG00000003518	0	0	0	0	0	0	0
ENSRNOG00000003520	10388	10160	9911	9531	9467	9839	10090
ENSRNOG00000003521	0	0	0	0	0	0	0
ENSRNOG00000003522	63	83	51	42	68	58	60
ENSRNOG00000003524	3878.15	3955.75	4086.59	4439.25	3722.17	3880.33	3486.92
ENSRNOG00000003526	80.101	111.0861	109.0845	70.03405	79.03559	97.22453	98.10645
ENSRNOG00000003531	0	0	0	0	0	0	0
ENSRNOG00000003532	2	1	3	1	2	5	3
ENSRNOG00000003533	43	46	54	31	31	38	72
ENSRNOG00000003536	757	832	734	661	739	660	712
ENSRNOG00000003537	16.472195659	16.2416	16.481212052	17.1328646944	18.1154	11.385188388	15.1436
ENSRNOG00000003538	260.712	273.211	198.575	197.258	207.044	162.319	166.204
ENSRNOG00000003541	184	247	235	246	187	206	204
ENSRNOG00000003542	3030	2886	2975	2986	2713	2549	2547
ENSRNOG00000003543	0	0	0	4	0	1	0
ENSRNOG00000003544	3.04724	3.04437	2.03786	5.06755	4.06265	2.03126	3.04712
ENSRNOG00000003545	307	346	427	369	314	364	370
ENSRNOG00000003546	2092	1974	1943	1730	1738	1577	732
ENSRNOG00000003548	0	0	0	0	0	0	0
ENSRNOG00000003549	988	1028	1024	986	937	1029	1213
ENSRNOG00000003550	520	510	529	534	489	452	510
ENSRNOG00000003551	488	482	553	427	470	414	453
ENSRNOG00000003553	264	275	202	211	268	214	277
ENSRNOG00000003554	129	161	123	161	113	114	123
ENSRNOG00000003555	0	0	0	0	0	0	0
ENSRNOG00000003559	138	152	188	163	126	128	164
ENSRNOG00000003560	0	0	0	0	0	0	0
ENSRNOG00000003562	46	60	37	26	38	47	51
ENSRNOG00000003563	1314.00428	1439.99713	1510.99517	1125	1284.0001	1271.00395	1381.00131
ENSRNOG00000003566	1	1	5	1	2	1	2
ENSRNOG00000003567	505	522	510	398	508	477	473
ENSRNOG00000003569	0	0	0	0	0	0	0
ENSRNOG00000003575	1	3	3	0	2	3	2
ENSRNOG00000003576	248.9996	306.0001	247.99975	342.99963	233.9997	222.999679131	259.99968
ENSRNOG00000003578	538	727	667	689	575	547	591
ENSRNOG00000003580	1	0	2	0	1	0	0
ENSRNOG00000003581	74	78	59	88.99999	55	69	68.99996
ENSRNOG00000003583	2664	2708	2709	2593	2353	2420	2460
ENSRNOG00000003585	0	1	1	1	0	1	1
ENSRNOG00000003587	58.1188	63.1432	49.1359	88.08	52.0005	38.0056	41.0644
ENSRNOG00000003588	4.03322	2	2	2.01689	3	0	3.01162
ENSRNOG00000003590	1051.0005	1053	877	865	888	848.0001	657.9997
ENSRNOG00000003592	647	681	715	746	625	632	733
ENSRNOG00000003594	2183.998	1976.998	2189.995	1995.998	1905.997	1950.003	1919.998
ENSRNOG00000003595	2	1	2	1	1	2	3
ENSRNOG00000003596	3700	3339	3511	2857	3517	3341	2226
ENSRNOG00000003597	7452	7144.15	6770	6459	6107	6195.15	4043
ENSRNOG00000003599	840	943	1106	974	883	855	781
ENSRNOG00000003600	645	742	703	841	615	685	816
ENSRNOG00000003601	3	4	0	0	1	0	0
ENSRNOG00000003603	299.9999	346	264.0004	270.9996	253.9998	221.0001	336
ENSRNOG00000003606	23.3138	24.2739	32.4255	33.4345	35.2217	35.7276	28.5259
ENSRNOG00000003611	552	574	634	663	585	576	640
ENSRNOG00000003613	289	337.9998	368.0002	298.0004	322.99988	310.9998	305.999928882
ENSRNOG00000003614	118	110	93	87	73	81.3857	87
ENSRNOG00000003616	0	0	0	3	4	2	0
ENSRNOG00000003620	0	1	0	0	0	0	0
ENSRNOG00000003622	240.091	232.264	264.805	297.57	204.391	220.92	219.823
ENSRNOG00000003625	2923	3042	2976	2749	2683	2779	2637
ENSRNOG00000003626	11625.8	12251.8	13167.9	12609.8	11361.9	13196.9	13891
ENSRNOG00000003629	352.0363	420.0556	422.11	447.0567	378.0644	376.0335	442.0487
ENSRNOG00000003633	0	0	0	0	0	0	0
ENSRNOG00000003634	137.5498	158.1605	145.228	121.1374	165.571	127.3284	141.7391
ENSRNOG00000003635	214	250	199	259	202	176	210
ENSRNOG00000003643	95	118	94	126	90	98	117
ENSRNOG00000003645	8972.74	9072.21	9713	8461.26	8353.64	8308.84	7314.99
ENSRNOG00000003648	22	11	25	17	13	17	12
ENSRNOG00000003649	1277.003	1239.999	1287.001	1069	1043	1145	1096
ENSRNOG00000003650	211	275	260	255	238	240	322
ENSRNOG00000003653	4315	4713	4548	4538	3723	4200	4326
ENSRNOG00000003654	1	4	5	3	1	2	1
ENSRNOG00000003657	211.86	179.094	165.58	183.317	169.112	167.684	134.309
ENSRNOG00000003661	5465	5117	5403	4939	4958	4717	5007
ENSRNOG00000003666	6	17	9	5	9	5	7
ENSRNOG00000003668	0	0	0	0	0	0	0
ENSRNOG00000003669	572	552.796	440	473.932	468.796	386.922	289.8883
ENSRNOG00000003670	682.31	775.802	843.491	654.193	709.994	729.223	791.736
ENSRNOG00000003671	0	0	0	0	0	0	0
ENSRNOG00000003672	0	0	0	0	0	0	0
ENSRNOG00000003673	931	914	1046	878	869	837	874
ENSRNOG00000003674	473	546	558	436	441	486	587
ENSRNOG00000003675	49.0374	47.0693	28.0552	42.0378	40.005	32.0571	27.0318
ENSRNOG00000003679	1166	1616	1249	1648	1154	1175	1262
ENSRNOG00000003680	3	5	2	5	6	7	6
ENSRNOG00000003681	1	2	0	2	5	2	1
ENSRNOG00000003682	259	239	269	240	255	227	237
ENSRNOG00000003683	1	5	3	2	7	2	1
ENSRNOG00000003686	1147	1467	1289.00286565	1295.000217719	1130.9967821	1218.000986393	1273.0000948239
ENSRNOG00000003687	317	346	452	439	294	336	320
ENSRNOG00000003688	0	0	0	0	0	0	1
ENSRNOG00000003689	6624.34	6930.4	7028.09	5594.52	5830.66	6581.92	6409.92
ENSRNOG00000003691	2084	2316	2547	2737	2013	2279	2236
ENSRNOG00000003694	329.753	470.916	386.502	333.556	313.086	264.421	330.815
ENSRNOG00000003695	0	0	0	0	0	0	0
ENSRNOG00000003698	0	1	0	0	0	0	0
ENSRNOG00000003699	66	63	61	74	75	61	78
ENSRNOG00000003703	1387	1450	1509	1206	1163	1188	912
ENSRNOG00000003704	10	21	19	20	8	16	9
ENSRNOG00000003705	4	0	2	5	3	2	3
ENSRNOG00000003706	1436	1564	1640	1524	1428	1616	1641
ENSRNOG00000003707	448.00012	444.99987	455.00015	385.00042	427.99986	363.00035	454.99991
ENSRNOG00000003709	0	3	1	0	0	2	3
ENSRNOG00000003712	870	1064	1055	1134	961	1025	1022
ENSRNOG00000003713	0	0	0	0	0	0	0
ENSRNOG00000003714	431	493	539	505	451	439	527
ENSRNOG00000003715	262	264	283	193	236	245	218
ENSRNOG00000003716	5	4	7	5	7	4	5
ENSRNOG00000003717	955	899	970	892	817	914	867
ENSRNOG00000003718	0	0	0	1	0	0	0
ENSRNOG00000003719	635	656	700	859	577	598	642
ENSRNOG00000003720	176	219.9996	181	179	161	162.9997	173
ENSRNOG00000003721	161.14	162.906	155.42	158.683	145.888	143.316	106.691
ENSRNOG00000003722	1318	1225	1170	893	1009	964	668
ENSRNOG00000003723	4271.44	4938.03	4737.51	4009.09	3996.99	4228	4249.27
ENSRNOG00000003724	1088	1157	1283	1211	996	1327	1205
ENSRNOG00000003726	56	84	79	82	73	53	84
ENSRNOG00000003728	922	970.000000080651	895	905	793	757	804
ENSRNOG00000003732	330	376	284	365	232	265	191
ENSRNOG00000003734	0	0	3.5814	1.18396	0	1.25562	0
ENSRNOG00000003736	8327	8690	7377	6966	7043	6957	6650
ENSRNOG00000003737	1	2	5	6	6	7	1
ENSRNOG00000003738	5	11	4	8	8	3	2
ENSRNOG00000003740	1	3	0	1	1	2	0
ENSRNOG00000003741	103	116.024	76.0392	81.0237	76.017	71.0274	67.1332
ENSRNOG00000003742	109	129	133	151.9999	96	124	92
ENSRNOG00000003743	1419	1579	1660	1961	1459	1353	1431
ENSRNOG00000003745	281.524	235.4356	240.4243	262.5341	203.5861	175.7273	159.9509
ENSRNOG00000003746	0	3	0	0	0	0	0
ENSRNOG00000003747	2693	2664	2766	2828	2425	2631	2646
ENSRNOG00000003748	1	2	5	4	4	1	2
ENSRNOG00000003749	123.4275	181.65	178.6595	214.4693	137.3861	116.4965	148.729
ENSRNOG00000003755	8	8	15	3	11	7	6
ENSRNOG00000003756	11	26	13	14	17	21	6
ENSRNOG00000003759	139	179	157	204	138	149	195
ENSRNOG00000003762	47	69	55	34	40	66	70
ENSRNOG00000003763	1165	1043	1092	967	1094	1030	1023
ENSRNOG00000003765	2	0	1	0	1	2	0
ENSRNOG00000003767	430	536	467	386.0002	421	383	392.0003
ENSRNOG00000003769	15	9	13	20	12	16	15
ENSRNOG00000003772	1499.9956	1521.0025	1401.0047	1558.0011	1345.0023	1523.9988	1549.0042
ENSRNOG00000003773	863.9996	942	893.0005	955.0002	909.9997	875.0003	968.9996
ENSRNOG00000003776	0	0	0	1	0	0	0
ENSRNOG00000003777	9	10	10	11	3	8	17
ENSRNOG00000003778	193	264	247	214	205	222	170
ENSRNOG00000003779	371	303	261	312	258	257	279
ENSRNOG00000003781	3	3	5	4	1	4	2
ENSRNOG00000003782	970	994	1119	987	989	1035	950
ENSRNOG00000003783	0	0	4	1	0	0	1
ENSRNOG00000003784	156	149	155	178	141	135	128
ENSRNOG00000003785	105	122	75	82	74	82	59
ENSRNOG00000003786	1191	1152	1358	973	1170	1197	1126
ENSRNOG00000003787	53	80	47	63	43	65	66
ENSRNOG00000003789	0	0	3.32927	0	0	0	0
ENSRNOG00000003790	1	1	1	2	1	0	0
ENSRNOG00000003792	819.0001	962.99938	837.9996	872.8803	775.0004	763	707
ENSRNOG00000003794	154	172	160	142	168	159	145
ENSRNOG00000003795	670.144	744.4	727.641	820.101	608.888	690.235	699.667
ENSRNOG00000003797	1506.04	1490.73	1579.92	1422.86	1346.14	1549.26	1478.96
ENSRNOG00000003800	8	12	18	15	5	10	7
ENSRNOG00000003802	182	164	259	151	183	170	185
ENSRNOG00000003803	204	276	223	237	199	217	226
ENSRNOG00000003805	357	467	377	401	361	340	397
ENSRNOG00000003806	3	2	1	0	3	0	1
ENSRNOG00000003807	4.01122	15.05742	3.005641	9.04848	7.014880531073	7.02845	3.05016
ENSRNOG00000003809	1066.00278	994	1120	1187	941.00002	1029	776
ENSRNOG00000003812	85.34476	74.96495	80.42234366	51.26348	99.41334206141	68.45934	81.2712
ENSRNOG00000003813	1	0	0	0	2	1	2
ENSRNOG00000003815	4177	4182	4170	4842	3710	3880	4237
ENSRNOG00000003816	271	295	288	270	266	275	280
ENSRNOG00000003821	503	571	430	595	431	459	397
ENSRNOG00000003822	1000	1168	1291	1225	1022	1072.99799	1128
ENSRNOG00000003825	523.9998	577.9998	551.0001	671.99973	512.0002	519.99966	517.0002
ENSRNOG00000003827	1018.96	1039.97	936.35	1169.43	835.449	790.502	884.224
ENSRNOG00000003829	507	518	604	427	463	521	532
ENSRNOG00000003831	74	55	59	47	61	42	47
ENSRNOG00000003832	1514	1568	1436	1228	1255	1301	1220
ENSRNOG00000003833	1181	1217	1186	1087	1097	1104	901
ENSRNOG00000003834	644	757	727	645	646	676	659
ENSRNOG00000003835	742	801	694	626	683	593	689
ENSRNOG00000003836	0	0	0	0	0	0	0
ENSRNOG00000003837	242	292	313	238	252	226	268
ENSRNOG00000003840	237.0003	277	270.0004	220.9999	222.9998	198.9999	198.9996
ENSRNOG00000003841	1	4	4.0000000282458	7	2	2.0000000144798	0
ENSRNOG00000003844	1730	2022	2063	1734	1752	1784	1421
ENSRNOG00000003845	8	4	4	2	4	2	2
ENSRNOG00000003846	4217.998	4440.995	4257.996	4333.001	3681.998	3712.003	3524.003
ENSRNOG00000003847	448.364	444.671	457.092	523.888	418.339	436.246	460.074
ENSRNOG00000003848	727.9998	917.0001	752.9999	806.9996	732	646.9991	708.9997
ENSRNOG00000003849	319	322	330	336	320	348	339
ENSRNOG00000003853	725	789	888	797	784	747	778
ENSRNOG00000003855	1338	1418	1336	1446	1160	1359	1315
ENSRNOG00000003858	693	801	849	819	682	673	752
ENSRNOG00000003860	0	0	0	0	0	0	1
ENSRNOG00000003861	160	193	170	207	140	173	147
ENSRNOG00000003863	2236	2278	2351	2049	2035	2175	2270
ENSRNOG00000003864	2043.76	2022.12	2080.72	2004.19	1877.32	1862.4	1942.44
ENSRNOG00000003865	55.7499	50.9111	45.0544	49.9414	43.8599	24.7592	53.5505
ENSRNOG00000003866	561.00021	486	501	386	454.99951	449	471
ENSRNOG00000003869	558.403	603.056	495.828	478.003	481.703	362.003	484.169
ENSRNOG00000003870	59	55	61	53	42	49	43
ENSRNOG00000003872	638.08	659.926	576.564	637.808	503.621	565	478
ENSRNOG00000003873	4261.996	4876.0000977964	4279.001	4161.005	3639.000616224	4001.0029054	3818
ENSRNOG00000003875	153.99968	235.0003	214.9999	212.9995	172.9999	192.99964	207.99955
ENSRNOG00000003878	0	0	0	0	0	0	0
ENSRNOG00000003879	770	706	738	821	715	670	693
ENSRNOG00000003880	0	0	0	1	0	0	0
ENSRNOG00000003881	1199	1167	1188	940	1071	1111	1181
ENSRNOG00000003882	973	1494	995	1204	949	1156	1059
ENSRNOG00000003883	0	0	0	5.35252	3.71267	2.73982	0
ENSRNOG00000003884	0	1	2	2	3	5	1
ENSRNOG00000003887	20	16	18	15	13	20	26
ENSRNOG00000003888	2	0	0	2	0	0	0
ENSRNOG00000003889	574	735	720	747	656	665	777
ENSRNOG00000003890	3575.96	3974.33	4238.61	3481.03	3585.52	3667.88	3548.87
ENSRNOG00000003891	0	0	1	3	0	0	0
ENSRNOG00000003893	86	93	104	77	89	89	122
ENSRNOG00000003895	4	0	3	3	1	6	2
ENSRNOG00000003897	96058	104778	70233	86101	75392	60359	73102
ENSRNOG00000003899	0	2	2.06104	0	0	0	0
ENSRNOG00000003901	499	503	596	475	527	517	620
ENSRNOG00000003902	0	0	0	0	0	0	0
ENSRNOG00000003905	728.9996	844.0004	735	833.0002	697	656.9997	695.0002
ENSRNOG00000003915	395	371	404	352	364	305	413
ENSRNOG00000003917	883.0004	896.0005	874.9992	764.0007	794.9998	750.9999	606.9998
ENSRNOG00000003918	162	154	188	215	159	132	161
ENSRNOG00000003919	711	836	753	727	721	793	761
ENSRNOG00000003923	1230	1371	1352	1213	1186	1173	1106
ENSRNOG00000003924	390	448	427	433	347	402	346
ENSRNOG00000003925	43	62	46	17	47	35	65
ENSRNOG00000003927	93.0086	116.01	96.2626	136	91.0183	98.3189	84.7096
ENSRNOG00000003928	853.1999	858.7412	984.1893	1048.2469	885.1903	854.6446	924.89074
ENSRNOG00000003929	155	177.0005	133	170.9999	120	111	100
ENSRNOG00000003931	672.043	644.033	613.65	578.566	549.551	527.498	532.776
ENSRNOG00000003936	537	618	630	554	501	508	544
ENSRNOG00000003942	1078	1346	1374	1395	1009	1236	1357
ENSRNOG00000003946	503	561	495	615	435	489	455
ENSRNOG00000003947	439	454	369	284	377	341	330
ENSRNOG00000003948	1490	1439	1271	1245	1258	1224	1300
ENSRNOG00000003949	46	49	36	56	36	35	57
ENSRNOG00000003950	1	1	1	1	1	2	1
ENSRNOG00000003951	4052	4061	4571	3841	3756	4110	3952
ENSRNOG00000003952	4	3	1	5	4	2	1
ENSRNOG00000003953	1071.9995	1247.004	1114	1187.9953	933.9999	1071.0002	1089.0013
ENSRNOG00000003954	63.00002	54	40	57.00003	58.99996	49	40.00005
ENSRNOG00000003955	137	133	152	164	126	139	153
ENSRNOG00000003956	100	116.99957	99.00002	104	102	89	85
ENSRNOG00000003958	481	496	574	566	442	521	495
ENSRNOG00000003959	11	2	8	10	5	5	12
ENSRNOG00000003960	0	0	0	0	0	0	0
ENSRNOG00000003964	393	448	389	366	325.0005	338.9998	395
ENSRNOG00000003965	0	0	0	0	0	0	0
ENSRNOG00000003967	1528	1420	1609	1635	1401	1344	1280
ENSRNOG00000003969	155	165	156	141	143	134	172
ENSRNOG00000003970	2611	2791	2307	2524	2202	2237	2203
ENSRNOG00000003971	586.00014	678.0003	608.00016	696.00024	578.0004	555.9995	588.00012
ENSRNOG00000003972	24	29	22	18	24	20	34
ENSRNOG00000003973	551.01	497.106	500.727	468.799	452.721	426.211	504.585
ENSRNOG00000003975	17772	17814	18657	17912	15826	15922	14862
ENSRNOG00000003977	235	222	193	201	175	159	144
ENSRNOG00000003979	114	124	120	146	116	119	120
ENSRNOG00000003980	1611	1566	1670	1525	1439	1490	1648
ENSRNOG00000003981	177	165	202	241	181	152	141
ENSRNOG00000003983	922.568	979.33	1062.01	989.183	863.597	887.385	932.437
ENSRNOG00000003984	90	115	109	123	78	79	85
ENSRNOG00000003985	227.6861	256.3299	257.9171	246.398	224.2306	216.1428	315.9648
ENSRNOG00000003988	247	282	252.9997	225	223.9997	211	198.0002
ENSRNOG00000003990	2758	2893.97	2760.98	2482	2471.98	2503	2757
ENSRNOG00000003991	10	6	7	9	7	6	6
ENSRNOG00000003992	9	21	21	22	19	16	11
ENSRNOG00000003993	85	117	106	94	74	96	71
ENSRNOG00000003997	1	1	1	3	3	7	0
ENSRNOG00000003998	1542	1780	1715	1437	1373	1696	1997
ENSRNOG00000003999	300.167	308.636	269.935	284.07	252.998	238.655	229.605
ENSRNOG00000004000	259	309	288	389	275	246.0002	261
ENSRNOG00000004001	311	335	323	302	279	326	399
ENSRNOG00000004003	87	83	84	85	57	59	65
ENSRNOG00000004004	120	153	100	187	130	113	130
ENSRNOG00000004006	660.99985	705	796	813.33654	549.251	704.296	711
ENSRNOG00000004009	7	5	4	5	1	3	4
ENSRNOG00000004011	350	368	383	420	342	301	357
ENSRNOG00000004013	9.00001	20.99996	20	15.00001	17.99999	13.99999	5
ENSRNOG00000004014	519	529	515	588	469	468.761	514.833
ENSRNOG00000004016	979	1081	1026	1027	1005	997	1009
ENSRNOG00000004018	0	0	0	1	3	3	1
ENSRNOG00000004019	848	732	749	660	587	528	556
ENSRNOG00000004022	10.2491	5.18622	18.3547	10.2799	12.241	11.3911	9.38892
ENSRNOG00000004026	1005	1097	948	1123	871	903	759
ENSRNOG00000004027	2551.47	2519.5	2375.36	2380.99	2214.12	2294.86	2454.27
ENSRNOG00000004029	5	2	3	0	0	1	2
ENSRNOG00000004030	0	1.58224	4.88935	4.86718	3.67104	6.02024	7.98201
ENSRNOG00000004032	822	892	688	672	689	629	741
ENSRNOG00000004033	72.99996	78	48	66	62	46	69.00002
ENSRNOG00000004035	260	311	274	286	262	274	295
ENSRNOG00000004036	1258.99831	1260.00365	1244.9973	1189.9997	1074.0001	1104.99974	1168.99906
ENSRNOG00000004040	44	46	41	20	38	48	33
ENSRNOG00000004048	511	614	539	681	459	531	643
ENSRNOG00000004049	1017	979	913	727	841	762	857
ENSRNOG00000004050	399	467	427	554	367	424	383.0001
ENSRNOG00000004057	585	743	564	592	558	584	612
ENSRNOG00000004059	160	185	184.664	116	149	192	208
ENSRNOG00000004060	8737	8640	9373	8690	8003	8535	8115
ENSRNOG00000004061	892	1142	1225	1221	983	960	1045.99
ENSRNOG00000004062	3	0	0	0	3	2	0
ENSRNOG00000004063	554	596	412	454.0001	472	389	300.0003
ENSRNOG00000004066	31	33	25	41	15	28	14
ENSRNOG00000004067	4.999998	9	13.9999558	15.99999	8	8.000002	7
ENSRNOG00000004068	711.3713	905.598	703.7343	838.988	644.0486	688.3769	655.3222
ENSRNOG00000004072	7189	7254	6443	6714	6042	6018	4788
ENSRNOG00000004075	0	0	1	1	0	3	0
ENSRNOG00000004076	247	301	335	306	285	244	299
ENSRNOG00000004077	0	0	2	1	0	0	0
ENSRNOG00000004078	1439	1426	1550	1346	1383	1427	1434
ENSRNOG00000004083	1246.0003	1356.0006	1364.9985	1228.0003	1117.0007	1254	1338.999
ENSRNOG00000004084	208.9995	240.0003	199.0001	169.9997	144.9998	253.99971	159
ENSRNOG00000004085	254	268	242	214	238	265	262
ENSRNOG00000004089	33	29	18	16	26	20	27
ENSRNOG00000004090	526.132	649.934	632.725	445.247	522.094	571.289	530.028
ENSRNOG00000004091	257.538	300.604	280.13	316.166	256.085	227.221	292.216
ENSRNOG00000004092	0	3.05307	0	0	3.04646	0	1.01145
ENSRNOG00000004093	1372.28	1560.747	1384.761	1481.484	1280.927	1349.584	1437.866
ENSRNOG00000004094	295	333	267	311	258	222	276
ENSRNOG00000004099	756	784	647	748	609	529	614
ENSRNOG00000004100	181	195	169	218	136	134	129
ENSRNOG00000004101	3	4	7	5.01626	6	5	8
ENSRNOG00000004103	384	423	471	478	397	404	371
ENSRNOG00000004104	64.1462	83.3252	104.036	125.163	58.5706	79.2124	58.6611
ENSRNOG00000004107	11602	12599	13484	12849	11653	12913	13123
ENSRNOG00000004108	1.00005	2.00009	1	0	0	1.60582	0
ENSRNOG00000004109	243	234	217	145	194	175	213
ENSRNOG00000004110	218	235	200	247	213	193	215
ENSRNOG00000004111	570	621	524	546	481	499	509
ENSRNOG00000004112	7	10	10	12	7	11	8
ENSRNOG00000004117	23.2796	26.3051	28.7446	21.1404	35.4823	23.2071	21.1206
ENSRNOG00000004118	2	3	0	1	1	2	0
ENSRNOG00000004120	5	16	11	9	7	5	10
ENSRNOG00000004122	4	7	6	5	1	3	2
ENSRNOG00000004124	3.03755	7.05636	7.05353	8.05141	5.05431	11.1745	7.05882
ENSRNOG00000004125	2	6	6	7	8	8	6
ENSRNOG00000004127	535	675	587	659	527	550	477
ENSRNOG00000004130	902	990	1127	934	958	1018	1097
ENSRNOG00000004131	914	913	834	898	784	733	699
ENSRNOG00000004132	1869.51	1860.4	1718.2	1558.72	1581.33	1487.01	1537.36
ENSRNOG00000004133	570	471.0001	602.8612	552.99978	480.9996	419.4844	289.3308
ENSRNOG00000004135	151	174	168	201	140	137	136
ENSRNOG00000004137	902	1001	921	877	803	801	849
ENSRNOG00000004139	1080	1051	965	988	827	840	865
ENSRNOG00000004140	63	83	68	72	66	60	53
ENSRNOG00000004141	527	480	428	495	380	376	273
ENSRNOG00000004142	2	5	2	1	7	5	6
ENSRNOG00000004143	4365	4653	4550	4362	3914	4254	4240
ENSRNOG00000004144	135	184.69	185	166	149	170.566	160
ENSRNOG00000004145	118	149	159	160	154	131	165
ENSRNOG00000004146	711.874	745.42281	737	700.53513	642.0186	610.5998	731
ENSRNOG00000004147	51.000000475033	59	28.000000179985	33.00003558	37.0000000227969	33.000000217281	50.000000114956
ENSRNOG00000004148	388	431	431	436	342	323	355
ENSRNOG00000004149	1	0	0	0	1	1	0
ENSRNOG00000004150	9	14	10	3	11	8	18
ENSRNOG00000004152	755	844	765	716	698	680	859
ENSRNOG00000004155	28	38	16	28	26	22	22
